Date,Centre_Name,Commodity_Name,Price,Month
2009-05-13,CHENNAI,Brinjal,18.0,2009-05
2009-05-14,BENGALURU,Brinjal,14.0,2009-05
2009-05-14,T.PURAM,Brinjal,8.0,2009-05
2009-05-14,CHENNAI,Brinjal,18.0,2009-05
2009-05-15,BENGALURU,Brinjal,14.0,2009-05
2009-05-15,T.PURAM,Brinjal,8.0,2009-05
2009-05-15,CHENNAI,Brinjal,18.0,2009-05
2009-05-18,BENGALURU,Brinjal,14.0,2009-05
2009-05-18,T.PURAM,Brinjal,8.0,2009-05
2009-05-18,CHENNAI,Brinjal,18.0,2009-05
2009-05-19,BENGALURU,Brinjal,10.0,2009-05
2009-05-19,T.PURAM,Brinjal,10.0,2009-05
2009-05-19,CHENNAI,Brinjal,18.0,2009-05
2009-05-20,BENGALURU,Brinjal,10.0,2009-05
2009-05-20,T.PURAM,Brinjal,10.0,2009-05
2009-05-20,CHENNAI,Brinjal,18.0,2009-05
2009-05-21,BENGALURU,Brinjal,10.0,2009-05
2009-05-21,T.PURAM,Brinjal,10.0,2009-05
2009-05-21,CHENNAI,Brinjal,18.0,2009-05
2009-05-22,BENGALURU,Brinjal,10.0,2009-05
2009-05-22,T.PURAM,Brinjal,10.0,2009-05
2009-05-22,CHENNAI,Brinjal,18.0,2009-05
2009-05-25,BENGALURU,Brinjal,10.0,2009-05
2009-05-25,T.PURAM,Brinjal,10.0,2009-05
2009-05-25,CHENNAI,Brinjal,18.0,2009-05
2009-05-26,BENGALURU,Brinjal,10.0,2009-05
2009-05-26,T.PURAM,Brinjal,10.0,2009-05
2009-05-26,CHENNAI,Brinjal,18.0,2009-05
2009-05-27,BENGALURU,Brinjal,10.0,2009-05
2009-05-27,T.PURAM,Brinjal,10.0,2009-05
2009-05-27,CHENNAI,Brinjal,18.0,2009-05
2009-05-28,BENGALURU,Brinjal,10.0,2009-05
2009-05-28,T.PURAM,Brinjal,10.0,2009-05
2009-05-28,CHENNAI,Brinjal,18.0,2009-05
2009-05-29,BENGALURU,Brinjal,10.0,2009-05
2009-05-29,T.PURAM,Brinjal,10.0,2009-05
2009-05-29,CHENNAI,Brinjal,18.0,2009-05
2009-01-06,BENGALURU,Brinjal,10.0,2009-01
2009-01-06,T.PURAM,Brinjal,10.0,2009-01
2009-01-06,CHENNAI,Brinjal,18.0,2009-01
2009-02-06,BENGALURU,Brinjal,10.0,2009-02
2009-02-06,T.PURAM,Brinjal,10.0,2009-02
2009-02-06,CHENNAI,Brinjal,18.0,2009-02
2009-03-06,BENGALURU,Brinjal,10.0,2009-03
2009-03-06,T.PURAM,Brinjal,10.0,2009-03
2009-03-06,CHENNAI,Brinjal,18.0,2009-03
2009-04-06,BENGALURU,Brinjal,10.0,2009-04
2009-04-06,T.PURAM,Brinjal,10.0,2009-04
2009-04-06,CHENNAI,Brinjal,18.0,2009-04
2009-05-06,BENGALURU,Brinjal,10.0,2009-05
2009-05-06,T.PURAM,Brinjal,10.0,2009-05
2009-05-06,CHENNAI,Brinjal,18.0,2009-05
2009-08-06,BENGALURU,Brinjal,10.0,2009-08
2009-08-06,T.PURAM,Brinjal,10.0,2009-08
2009-08-06,CHENNAI,Brinjal,18.0,2009-08
2009-09-06,BENGALURU,Brinjal,10.0,2009-09
2009-09-06,T.PURAM,Brinjal,10.0,2009-09
2009-09-06,CHENNAI,Brinjal,18.0,2009-09
2009-10-06,BENGALURU,Brinjal,10.0,2009-10
2009-10-06,T.PURAM,Brinjal,10.0,2009-10
2009-10-06,CHENNAI,Brinjal,18.0,2009-10
2009-11-06,BENGALURU,Brinjal,10.0,2009-11
2009-11-06,T.PURAM,Brinjal,10.0,2009-11
2009-11-06,CHENNAI,Brinjal,18.0,2009-11
2009-12-06,BENGALURU,Brinjal,10.0,2009-12
2009-12-06,T.PURAM,Brinjal,10.0,2009-12
2009-12-06,CHENNAI,Brinjal,18.0,2009-12
2009-06-15,BENGALURU,Brinjal,10.0,2009-06
2009-06-15,T.PURAM,Brinjal,10.0,2009-06
2009-06-15,CHENNAI,Brinjal,18.0,2009-06
2009-06-16,BENGALURU,Brinjal,10.0,2009-06
2009-06-16,T.PURAM,Brinjal,10.0,2009-06
2009-06-16,CHENNAI,Brinjal,15.0,2009-06
2009-06-17,BENGALURU,Brinjal,10.0,2009-06
2009-06-17,T.PURAM,Brinjal,10.0,2009-06
2009-06-17,CHENNAI,Brinjal,15.0,2009-06
2009-06-18,BENGALURU,Brinjal,10.0,2009-06
2009-06-18,T.PURAM,Brinjal,10.0,2009-06
2009-06-18,CHENNAI,Brinjal,15.0,2009-06
2009-06-19,BENGALURU,Brinjal,9.0,2009-06
2009-06-19,T.PURAM,Brinjal,10.0,2009-06
2009-06-19,CHENNAI,Brinjal,15.0,2009-06
2009-06-22,BENGALURU,Brinjal,9.0,2009-06
2009-06-22,T.PURAM,Brinjal,10.0,2009-06
2009-06-22,CHENNAI,Brinjal,15.0,2009-06
2009-06-23,BENGALURU,Brinjal,9.0,2009-06
2009-06-23,T.PURAM,Brinjal,10.0,2009-06
2009-06-23,CHENNAI,Brinjal,15.0,2009-06
2009-06-24,BENGALURU,Brinjal,9.0,2009-06
2009-06-24,T.PURAM,Brinjal,10.0,2009-06
2009-06-24,CHENNAI,Brinjal,15.0,2009-06
2009-06-25,BENGALURU,Brinjal,9.0,2009-06
2009-06-25,T.PURAM,Brinjal,10.0,2009-06
2009-06-25,CHENNAI,Brinjal,15.0,2009-06
2009-06-26,BENGALURU,Brinjal,9.0,2009-06
2009-06-26,T.PURAM,Brinjal,10.0,2009-06
2009-06-26,CHENNAI,Brinjal,15.0,2009-06
2009-06-29,BENGALURU,Brinjal,9.0,2009-06
2009-06-29,T.PURAM,Brinjal,10.0,2009-06
2009-06-29,CHENNAI,Brinjal,15.0,2009-06
2009-06-30,BENGALURU,Brinjal,9.0,2009-06
2009-06-30,T.PURAM,Brinjal,10.0,2009-06
2009-06-30,CHENNAI,Brinjal,15.0,2009-06
2009-01-07,BENGALURU,Brinjal,9.0,2009-01
2009-01-07,T.PURAM,Brinjal,10.0,2009-01
2009-01-07,CHENNAI,Brinjal,15.0,2009-01
2009-02-07,BENGALURU,Brinjal,9.0,2009-02
2009-02-07,T.PURAM,Brinjal,10.0,2009-02
2009-02-07,CHENNAI,Brinjal,15.0,2009-02
2009-03-07,BENGALURU,Brinjal,9.0,2009-03
2009-03-07,T.PURAM,Brinjal,14.0,2009-03
2009-03-07,CHENNAI,Brinjal,15.0,2009-03
2009-06-07,BENGALURU,Brinjal,9.0,2009-06
2009-06-07,T.PURAM,Brinjal,14.0,2009-06
2009-06-07,CHENNAI,Brinjal,15.0,2009-06
2009-07-07,BENGALURU,Brinjal,9.0,2009-07
2009-07-07,T.PURAM,Brinjal,14.0,2009-07
2009-07-07,CHENNAI,Brinjal,15.0,2009-07
2009-08-07,BENGALURU,Brinjal,9.0,2009-08
2009-08-07,T.PURAM,Brinjal,14.0,2009-08
2009-08-07,CHENNAI,Brinjal,15.0,2009-08
2009-09-07,BENGALURU,Brinjal,9.0,2009-09
2009-09-07,T.PURAM,Brinjal,14.0,2009-09
2009-09-07,CHENNAI,Brinjal,15.0,2009-09
2009-10-07,BENGALURU,Brinjal,9.0,2009-10
2009-10-07,T.PURAM,Brinjal,14.0,2009-10
2009-10-07,CHENNAI,Brinjal,15.0,2009-10
2009-07-13,BENGALURU,Brinjal,9.0,2009-07
2009-07-13,T.PURAM,Brinjal,14.0,2009-07
2009-07-13,CHENNAI,Brinjal,15.0,2009-07
2009-07-14,BENGALURU,Brinjal,9.0,2009-07
2009-07-14,T.PURAM,Brinjal,14.0,2009-07
2009-07-14,CHENNAI,Brinjal,15.0,2009-07
2009-07-15,BENGALURU,Brinjal,9.0,2009-07
2009-07-15,T.PURAM,Brinjal,14.0,2009-07
2009-07-15,CHENNAI,Brinjal,15.0,2009-07
2009-07-16,BENGALURU,Brinjal,9.0,2009-07
2009-07-16,T.PURAM,Brinjal,14.0,2009-07
2009-07-16,CHENNAI,Brinjal,15.0,2009-07
